group,country,taxon,variable,measure,value
Fed carps,China,Grass carp,FCR,sd,0.036498264328857936
Fed carps,China,Grass carp,FCR,ll,1.754178650264407
Fed carps,China,Grass carp,FCR,ul,1.887961845252957
Fed carps,China,Grass carp,FM,mean,4.277264705882353
Fed carps,China,Grass carp,FM,sd,0.8693574146007162
Fed carps,China,Grass carp,FM,ll,3.233824419923673
Fed carps,China,Grass carp,FM,ul,7.1915248790874395
Fed carps,China,Grass carp,FO,mean,0
Fed carps,China,Grass carp,FO,sd,0
Fed carps,China,Grass carp,FO,ll,0
Fed carps,China,Grass carp,FO,ul,0
Fed carps,World,Silver carp,On_Feed,mean,49.55257844563125
Fed carps,World,Silver carp,On_Feed,sd,3.347517263420805
Fed carps,World,Silver carp,On_Feed,ll,41.79213059092202
Fed carps,World,Silver carp,On_Feed,ul,54.96561048148729
Fed carps,World,Silver carp,FCR,mean,1.8019618518518519
Fed carps,World,Silver carp,FCR,sd,0.03303066364648891
Fed carps,World,Silver carp,FCR,ll,1.7662912751068804
Fed carps,World,Silver carp,FCR,ul,1.9085909918245485
Fed carps,World,Silver carp,FM,mean,4.244470588235294
Fed carps,World,Silver carp,FM,sd,0.8535539709772255
Fed carps,World,Silver carp,FM,ll,3.2899071935912536
Fed carps,World,Silver carp,FM,ul,7.18481564793786
Fed carps,World,Silver carp,FO,mean,0
Fed carps,World,Silver carp,FO,sd,0
Fed carps,World,Silver carp,FO,ll,0
Fed carps,World,Silver carp,FO,ul,0
Fed carps,China,Silver carp,On_Feed,mean,50.1876276467625
Fed carps,China,Silver carp,On_Feed,sd,3.6325889829591356
Fed carps,China,Silver carp,On_Feed,ll,41.22501492086168
Fed carps,China,Silver carp,On_Feed,ul,54.385604709874805
Fed carps,China,Silver carp,FCR,mean,1.8080644444444445
Fed carps,China,Silver carp,FCR,sd,0.03470199954658383
Fed carps,China,Silver carp,FCR,ll,1.7569727726220064
Fed carps,China,Silver carp,FCR,ul,1.8932648359164757
Fed carps,China,Silver carp,FM,mean,4.337676470588235
Fed carps,China,Silver carp,FM,sd,0.8612963976464697
Fed carps,China,Silver carp,FM,ll,3.1421762870278207
Fed carps,China,Silver carp,FM,ul,7.3095966847278335
Fed carps,China,Silver carp,FO,mean,0
Fed carps,China,Silver carp,FO,sd,0
Fed carps,China,Silver carp,FO,ll,0
Fed carps,China,Silver carp,FO,ul,0
Fed carps,World,Bighead carp,On_Feed,mean,49.56683413980625
Fed carps,World,Bighead carp,On_Feed,sd,3.5234337442594037
Fed carps,World,Bighead carp,On_Feed,ll,40.954452466969485
Fed carps,World,Bighead carp,On_Feed,ul,54.89043928138029
Fed carps,World,Bighead carp,FCR,mean,1.8034233333333334
Fed carps,World,Bighead carp,FCR,sd,0.0324106320612073
Fed carps,World,Bighead carp,FCR,ll,1.7632044720948123
Fed carps,World,Bighead carp,FCR,ul,1.902787503417021
Fed carps,World,Bighead carp,FM,mean,4.283058823529411
Fed carps,World,Bighead carp,FM,sd,0.8679129240759318
Fed carps,World,Bighead carp,FM,ll,3.334631871874725
